shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
3001-1-1,36.6705204722661,137.220566712479,1
3001-1-1,36.6715083605958,137.221378471738,2
3001-1-1,36.672764436263,137.220813475709,3
3001-1-1,36.6756381935983,137.219378570938,4
3001-1-1,36.6782584628215,137.217986348707,5
3001-1-1,36.6804529414684,137.21689706034,6
3001-1-1,36.6821459698539,137.216193934668,7
3001-1-1,36.6836357133431,137.215881942604,8
3001-1-1,36.686333483698,137.215786471703,9
3001-1-1,36.6883469865116,137.215661224347,10
3001-1-1,36.6897686974448,137.215668920117,11
3001-1-1,36.6914379869701,137.215820328849,12
3001-1-1,36.6949759001276,137.215954867209,13
3001-1-1,36.6966975566934,137.216063244193,14
3001-1-1,36.6985817241992,137.216127384404,15
3001-1-1,36.6989682908832,137.21610178784,16
3001-1-1,36.6991091446576,137.21592140027,17
3001-1-1,36.7000067241993,137.213755955832,18
3001-1-1,36.7005370810257,137.212454175386,19
3001-1-1,36.7007623719515,137.212472117179,20
3001-1-1,36.701609951035,137.212899949192,21
3001-2-1,36.6705204722661,137.220566712479,1
3001-2-1,36.6715083605958,137.221378471738,2
3001-2-1,36.672764436263,137.220813475709,3
3001-2-1,36.6756381935983,137.219378570938,4
3001-2-1,36.6782584628215,137.217986348707,5
3001-2-1,36.6804529414684,137.21689706034,6
3001-2-1,36.6821459698539,137.216193934668,7
3001-2-1,36.6836357133431,137.215881942604,8
3001-2-1,36.686333483698,137.215786471703,9
3001-2-1,36.6883469865116,137.215661224347,10
3001-2-1,36.6897686974448,137.215668920117,11
3001-2-1,36.6914379869701,137.215820328849,12
3001-2-1,36.6949759001276,137.215954867209,13
3001-2-1,36.6966975566934,137.216063244193,14
3001-2-1,36.6985817241992,137.216127384404,15
3001-2-1,36.6989682908832,137.21610178784,16
3001-2-1,36.6991091446576,137.21592140027,17
3001-2-1,36.7000067241993,137.213755955832,18
3001-2-1,36.7005370810257,137.212454175386,19
3001-2-1,36.7007623719515,137.212472117179,20
