route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,jp_parent_route_id
R090400052000000,5060001001128,［４６］,宇都宮～陽西中～ろまんちっく村,,3,,,,R090400052
R090400052010001,5060001001128,［１］,宇都宮～陽西中～ろまんちっく村,,3,,,,R090400052
R090400053000000,5060001001128,［３４］,宇都宮～陽西通り～鶴田駅,,3,,,,R090400053
R090400053010001,5060001001128,［１］,宇都宮～陽西通り～鶴田駅,,3,,,,R090400053
R090400054000000,5060001001128,［４５］,宇都宮～立岩［大谷経由］,,3,,,,R090400054
R090400054010001,5060001001128,［１］,宇都宮～立岩［大谷経由］,,3,,,,R090400054
R090400055000000,5060001001128,［３６］,宇都宮～六道～西川田東,,3,,,,R090400055
R090400055010001,5060001001128,［１］,宇都宮～六道～西川田東,,3,,,,R090400055
R090400193000000,5060001001128,［３６］,宇都宮～六道～総合運動公園西,,3,,,,R090400193
R090400193010001,5060001001128,［１］,宇都宮～六道～総合運動公園西,,3,,,,R090400193
R090400056000000,5060001001128,［３６］,宇都宮～六道～鶴田駅,,3,,,,R090400056
R090400056010001,5060001001128,［１］,宇都宮～六道～鶴田駅,,3,,,,R090400056
R090400057000000,5060001001128,［５３］,宇都宮～和尚塚～細谷,,3,,,,R090400057
R090400057010001,5060001001128,［１］,宇都宮～和尚塚～細谷,,3,,,,R090400057
R090400058000000,5060001001128,［４１］,宇都宮～楡木車庫,,3,,,,R090400058
R090400058010001,5060001001128,［１］,宇都宮～楡木車庫,,3,,,,R090400058
R090400117000000,5060001001128,,宇都宮駅東口～ベルモール,,3,,,,R090400117
R090400117010000,5060001001128,,宇都宮駅東口～ベルモール,,3,,,,R090400117
R090400196000000,5060001001128,,宇都宮駅東口～岡本駅西口～和久,,3,,,,R090400196
R090400196010000,5060001001128,,宇都宮駅東口～岡本駅西口～和久,,3,,,,R090400196
R090400216000000,5060001001128,宇都宮駅東口～下平出～星の杜中学校・高等学校,宇都宮駅東口～下平出～星の杜,,3,,,,R090400216
R090400194000000,5060001001128,宇都宮駅東口～上野団地～岡本駅西口,宇都宮駅東口～上野～岡本駅西口,,3,,,,R090400194
R090400194010000,5060001001128,宇都宮駅東口～上野団地～岡本駅西口,宇都宮駅東口～上野～岡本駅西口,,3,,,,R090400194
R090400064000000,5060001001128,［１１］宇都宮駅東口～中平出～柳田車庫,宇都宮駅東口～中平出～柳田車庫,,3,,,,R090400064
R090400064010001,5060001001128,［２］宇都宮駅東口～中平出～柳田車庫,宇都宮駅東口～中平出～柳田車庫,,3,,,,R090400064
R090400113000000,5060001001128,宇都宮駅東口～岡本駅東口,宇都宮駅東口～陽東～ＪＲ岡本駅,,3,,,,R090400113
R090400113010000,5060001001128,宇都宮駅東口～岡本駅東口,宇都宮駅東口～陽東～ＪＲ岡本駅,,3,,,,R090400113
R090400177000000,5060001001128,［３４］,宇都宮市内循環線：県庁先回り,,3,,,,R090400177
R090400178000000,5060001001128,［３５］,宇都宮市内循環線：市役所先回り,,3,,,,R090400178
R090400061000000,5060001001128,［３３］,宇都宮市役所循環,,3,,,,R090400061
R090400181000000,5060001001128,卸団地循環（ミツトヨ営業センター先）,宇都宮東口～営業Ｃ～宇都宮東口,,3,,,,R090400181
R090400183000000,5060001001128,卸団地循環（東峰町先）,宇都宮東口～東峰町～宇都宮東口,,3,,,,R090400183
R090400065000000,5060001001128,［２］宇大循環・右回り（ベルモール先）,宇都宮東循環［右回り］,,3,,,,R090400065
R090400066000000,5060001001128,［２］宇大循環・左回り（宇都宮大学先）,宇都宮東循環［左回り］,,3,,,,R090400066
R090400210000000,5060001001128,,宇都宮東武～越戸～御幸交番,,3,,,,R090400210
R090400210010000,5060001001128,,宇都宮東武～越戸～御幸交番,,3,,,,R090400210
R090400197000000,5060001001128,,宇都宮東武～越戸～平出工業団地,,3,,,,R090400197
R090400197010000,5060001001128,,宇都宮東武～越戸～平出工業団地,,3,,,,R090400197
R090400198000000,5060001001128,,宇都宮東武～越戸～柳田車庫,,3,,,,R090400198
R090400198010000,5060001001128,,宇都宮東武～越戸～柳田車庫,,3,,,,R090400198
R090400067000000,5060001001128,［１］,運転免許Ｃ～宇都宮［直通］,,3,,,,R090400067
R090400067010001,5060001001128,［４１］,運転免許Ｃ～宇都宮［直通］,,3,,,,R090400067
R090400119000000,5060001001128,,益子駅～ベルモール～宇都宮東武,,3,,,,R090400119
R090400119010000,5060001001128,,益子駅～ベルモール～宇都宮東武,,3,,,,R090400119
R090400120000000,5060001001128,,益子駅～東高橋～宇都宮東武,,3,,,,R090400120
R090400120010000,5060001001128,,益子駅～東高橋～宇都宮東武,,3,,,,R090400120
